可朗芙,56,185
巧克甜心可朗芙,60,193
鮪魚玉米可朗芙,111,321
花生牛肉起士可朗芙,138,451
花醬可朗芙,65,241
香蘋煉乳可朗芙,95,230
麥香雞吐司,175,476
鮪魚吐司,166,442
薯餅起士吐司,202,494
打拋豬歐姆蛋吐司,224,551
橙香水果沙拉,251,178
燻雞沙拉,225,159
巧克力土司,110,359
草莓土司,106,266
奶油土司,106,358
花生土司,110,366
椰香土司,110,370
玉米蛋餅,169,254
起司蛋餅,266,705
原味蛋餅,129,221
鮪魚蛋餅,169,388
錫蘭紅茶,360,103
非基改豆漿,360,262
阿華田,360,187
美式黑咖啡,360,10
拿鐵咖啡,360,130
麥香雞漢堡,149,396
牛肉起士漢堡,169,441
卡啦雞腿漢堡,199,577
經典牛肉起司堡,226,611
原味蔥抓餅,146,382
蜜汁嫩雞腿墨西哥捲,165,426
德式香腸墨西哥捲,178,533
卡啦雞腿墨西哥捲,208,692
卡啦總匯,420,1108
蔬菜總匯,291,611
荷包蛋,56,78
煎餃,137,230
薯餅,70,140
薯餅起士塔,139,269
薯條,157,277
熱狗,67,142
黑胡椒麵,450,373
蘑菇麵,450,318
