牛丼 中,,619
牛丼 大,,748
牛丼 特盛 ,,868
牛丼 超特盛,,983
翠玉子牛肉丼,,801
翠玉子牛肉丼 特盛,,930
翠玉子牛肉丼 超特盛,,1165
韓泡牛肉丼,,789
韓泡牛肉丼 特盛,,917
韓泡牛肉丼 超特盛,,1139
豚丼 中,,695
豚丼 大,,840
翠玉子豚肉丼,,877
翠玉子豚肉丼 特盛,,1023
韓泡豚肉丼,,865
韓泡豚肉丼 特盛,,1010
咖哩牛肉丼,,691
咖哩豚肉丼,,741
咖哩雞肉丼,,666
小牛咖哩烏龍麵,,844
小豚咖哩烏龍麵,,878
雞丼,,780
牛雞雙寶丼,,679
豚雞雙寶丼,,730
牛燒肉丼,,890
蒲燒鯛魚丼,,603
親子丼,,758
感丼,,977
麻婆牛肉丼,,699
麻婆豚肉丼,,749
牛肉朝定食,,310
豚肉朝定食,,344
雞肉朝定食,,301
小牛套餐,,351
小豚套餐,,384
抹茶拿鐵 熱,,111
抹茶拿鐵 冰,,119
吉香奶茶 熱,,171
吉香奶茶 冰,,179
金橘風味綠茶 熱,,138
金橘風味綠茶 冰,,188
可可拿鐵 熱,,157
可可拿鐵 冰,,170
檸檬風味紅茶 熱,,88
檸檬風味紅茶 冰,,146
日式煎茶 熱,,0.4
日式煎茶 冰,,0.7
熱紅茶,,0.8
味噌湯,,50
原味毛豆,,90
韓國泡菜,,24
四川泡菜,,16
半熟蛋,,127
生雞蛋,,90
巧克力鬆餅,,260
草莓鬆餅,,244
鮮燙花野菜,,51
日式菠菜,,63
牛皿,,183
豚皿,,259
雞皿,,138
日式唐揚雞,,146
茶碗蒸,,95
野菜可樂餅,,106
雙色QQ球,,225
