摩卡探戈綜合咖啡,8oz,67
午後綜合咖啡,8oz,68
瓜地馬拉酒香背影,360,24
古巴圖基諾,8oz,68
原味紅茶拿鐵,12oz,284
芒果風味奶霜冰沙,16oz,359
水蜜桃風味奶霜冰沙,16oz,293
莓果風味奶霜冰沙,16oz,248
香烤榛果紅茶拿鐵,12oz,284
法式香草紅茶拿鐵,12oz,284
西西里諾奶霜冰沙,16oz,200
西西里諾冰咖啡,16oz,256
黑摩卡,12oz,431
蘋果冰茶,16oz,142
榛果拿鐵(小),8oz,189
榛果拿鐵(中),12oz,298
榛果拿鐵(大),16oz,510
西雅圖極品綜合,8oz,68
紅茶,8oz,4
黑糖拿鐵,12oz,274
芭樂芯茶,12oz,0
抹茶拿鐵,12oz,367
瓜地馬拉安提瓜,8oz,68
哥倫比亞 特級,8oz,67
巴西喜拉朵,8oz,68
曼巴,8oz,68
摩卡爪哇,8oz,67
牙買加藍山藍爵莊園,8oz,66
豆乳拿鐵(小),8oz,139
豆乳拿鐵(中),12oz,209
豆乳拿鐵(大),16oz,278
薄荷清神茶,12oz,0
焦糖拿鐵(小),8oz,189
焦糖拿鐵(中),12oz,298
焦糖拿鐵(大),16oz,510
香草拿鐵(小),8oz,189
香草拿鐵(中),12oz,298
香草拿鐵(大),16oz,510
柳橙汁,448,257
咖啡冰沙(中),12oz,191
咖啡冰沙(大),16oz,244
巧克力牛奶咖啡冰沙(中),12oz,209
巧克力牛奶咖啡冰沙(大),16oz,270
巧酥咖啡冰沙(中),12oz,337
巧酥咖啡冰沙(大),16oz,437
藍莓巧酥咖啡冰沙(中),12oz,312
藍莓巧酥咖啡冰沙(大),16oz,415
葡萄汁,448,189
水蜜桃冰茶,16oz,101
葡萄藍莓茶,12oz,95
蜜桃薔薇茶,12oz,100
卡布奇諾(小),8oz,144
卡布奇諾(中),12oz,216
卡布奇諾(大),16oz,288
娜蒂諾(小),8oz,225
娜蒂諾(中),12oz,338
娜蒂諾(大),16oz,464
貝瑞斯塔(小),8oz,184
貝瑞斯塔(中),12oz,276
貝瑞斯塔(大),16oz,368
米乳拿鐵(小),8oz,143
米乳拿鐵(中),12oz,215
米乳拿鐵(大),16oz,291
印第安拿鐵(小),8oz,294
印第安拿鐵(中),12oz,441
印第安拿鐵(大),16oz,588
巧克力牛奶咖啡(小),8oz,169
巧克力牛奶咖啡(中),12oz,248
巧克力牛奶咖啡(大),16oz,326
拿鐵(小),8oz,164
拿鐵(中),12oz,246
拿鐵(大),16oz,328
義大利美式咖啡(小),8oz,65
義大利美式咖啡(中),12oz,87
義大利美式咖啡(大),16oz,130
銀河酋長(小),8oz,173
銀河酋長(中),12oz,252
銀河酋長(大),16oz,331
牛奶,360,241
可可,336,269
貝拉格,300,11
經典咖啡,12oz,87
經典可可,12oz,269
柯瑞特,30,52
摩卡咖啡,12oz,248
焦糖瑪奇朵,12oz,338
大吉嶺紅茶,12oz,14
幽浮冰咖啡,12oz,281
黑糖拿鐵,12oz,274
維也納咖啡,12oz,234
英倫奶茶,12oz,137
紅茶拿鐵,12oz,144
芙露特小姐,12oz,335
南非紅葉茶,12oz,4
洋甘菊香櫞茶,12oz,4
白薑梨花茶,12oz,4
鳳梨謎思,12oz,389
康寶藍,100,87
阿諾瑪,100,44
草莓米克,12oz,224
猴子樂園,12oz,374
濃縮咖啡,100,16
瑪琪雅朵,100,25
夏威夷科那,12oz,11
厄瓜多海龜島咖啡,12oz,3
台灣阿里山,12oz,4
巴拿馬藝妓翡翠莊園,12oz,4
蘇門答臘野生麝香貓咖啡,12oz,4
?巴西達特罕,12oz,14
衣索比亞耶加雪芙,12oz,14
葉門純種摩卡馬達里,12oz,14
哥倫比亞翡翠山,12oz,14
印尼路佳王曼特寧,12oz,14
哥斯大黎加多塔塔拉珠征服者,12oz,14
紅玉冰茶,12oz,162
肯亞AA 克力馬拉莊園,12oz,11
巴布亞新幾內亞西格里AA,12oz,11
坦桑尼亞吉力馬札羅,12oz,14
經典冷淬(招牌深焙),300,10
冰釀白金(白金淺焙),300,10
聖海倫那,12oz,14
古巴水晶山頂級,12oz,14
波旁尖身 天然少因咖啡,12oz,14
防彈咖啡,12oz,36
黃金曼特寧,12oz,14
巴拿馬瓦肯山谷卡門蜜處理,12oz,14
西西里諾冰咖啡,16oz,256
尼加拉瓜甜蜜蠻牛,360,17
蜜桃蘋果冰茶,300,86
經典拿鐵咖啡冰沙,360,188
濃可可咖啡冰沙,360,261
,,
