總匯大披薩(切八片),,328
海鮮大披薩(切八片),,318
夏威夷大披薩(切八片),,309
西西里燻雞大披薩(切八片),,290
地中海漁夫大披薩(切八片),,310
日式燒肉大披薩(切八片),,291
蔬菜大披薩(切八片),,327
義式豪華海陸大披薩(切八片),,324
美式嗆司臘腸大披薩(切八片),,395
白醬鮭魚大披薩(切八片),,227
墨西哥嗆辣大披薩(切八片),,312
蘋果肉桂大披薩(切八片),,342
洋食黃金脆雞大披薩(切八片),,381
波隆那臘腸大披薩(切八片),,293
龍蝦沙拉大披薩(切八片),,302
總匯小披薩(切六片),,246
海鮮小披薩(切六片),,233
夏威夷小披薩(切六片),,236
西西里燻雞小披薩(切六片),,223
地中海漁夫小披薩(切六片),,227
日式燒肉小披薩(切六片),,235
蔬菜小披薩(切六片),,240
義式豪華海陸小披薩(切六片),,228
美式嗆司臘腸小披薩(切六片),,383
白醬鮭魚小披薩(切六片),,167
墨西哥嗆辣小披薩(切六片),,233
蘋果肉桂小披薩(切六片),,264
洋食黃金脆雞小披薩(切六片),,277
波隆那臘腸小披薩(切六片),,218
總匯Mini披薩(6吋/切4片),,154
海鮮Mini披薩(6吋/切4片),,147
夏威夷Mini披薩(6吋/切4片),,157
西西里燻雞Mini披薩(6吋/切4片),,148
蔬菜Mini披薩(6吋/切4片),,153
波隆那臘腸Mini披薩(6吋/切4片),,149
炸雞翅,100,367
炸雞腿,120,345
炸雞腿排,180,358
烤雞翅,70,216
烤雞腿,90,268
烤雞腿排,140,244
玉米濃湯,180,98
香蒜麵包,100,413
現炸脆薯,120,327
香酥雞塊,167,205
黃金咖哩雞腿條,200,341
香草烤雞翅,120,291
德式帶骨香腸,150,295
經典紅醬燻雞焗麵,406,148
紅醬總匯燉飯,420,786
奶油海鮮燉飯,420,637
起酥紅豆派,100,356
